nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Alizée,Suisse,1,2019-07-28,Hôtel très bien avec une situation centrale,"La situation, le personnel aimable, la chambre spacieuse et confortable.","Il y avait juste un petit souci avec la douche, pas assez de pression un matin, j’ai dû attendre 1-2 minutes pour pouvoir me rincer les cheveux.",10,Hôtel,Bordeaux," 8,1 "
Paul,France,0,2020-03-15,Très bien,Chambre petite mais fonctionnelle. Petit déjeuner excellent.,None,"8,0",Hôtel,Bordeaux," 8,1 "
Cécile,France,0,2020-03-14,None,Ce commentaire n'apparaît pas car il ne respecte pas notre charte.,None,"7,0",Hôtel,Bordeaux," 8,1 "
Cyclone76,France,0,2020-03-11,Pratique et bien situé : idéal pour un court sejour,"Emplacement, gentillesse du personnel et du veilleur de nuit",Hotel mal insonorisé,"7,0",Hôtel,Bordeaux," 8,1 "
Sophie,France,0,2020-03-08,Sympa !,"Bon emplacement, propre, confortable
Personnel agreable","Pas assez de pression dans la douche
Salle de bain ouverte (wc séparés)","8,0",Hôtel,Bordeaux," 8,1 "
Laurent,France,0,2020-03-03,Bien mais ...,"Bon rapport qualité prix. 
Tres bien placé","Pommeau de douche sans pression avec fuite
Odeur de remonté d'égout","7,0",Hôtel,Bordeaux," 8,1 "
Paskalig,France,0,2020-03-03,Bien ,L'hôtel est extrêmement bien situé et le personnel est sympathique.,Présence d'insectes rampant dans la salle de bain et jet d'eau bruyant,"7,0",Hôtel,Bordeaux," 8,1 "
Helene,France,0,2020-03-01,Correcte dans l'ensemble.,La chambre est correcte et propre.,"Un peu déçue du petit déjeuner. A ce prix là je m'attend à du jus orange pressé, et non pas à des boissons du commerce. Les viennoiseries et le pain sont bons.","7,0",Hôtel,Bordeaux," 8,1 "
Brandon-izii,France,0,2020-02-27,Bien ,Les personne tro gentil accueillant oh top,Je ce pas si cette un oublie mais le serviette il ya n'avait que pour une personne,"7,0",Hôtel,Bordeaux," 8,1 "
Lucile,France,0,2020-02-23,Fabuleux ,Emplacement et rapport qualité prix,None,"9,2",Hôtel,Bordeaux," 8,1 "
Jazz-ka-philosophy,France,0,2020-02-22,Très bien et très bon accueil,Super bien situé,La moquette usagée,"7,0",Hôtel,Bordeaux," 8,1 "
Anthony,France,0,2020-02-20,Bien ,Proximité de l’hypercentre,Le petit déjeuner manquait de choix par rapport à son prix,"7,5",Hôtel,Bordeaux," 8,1 "
Laure,France,0,2020-02-17,Bon plan,Très bonne literie et situation centre ville idéale pour visites de Bordeaux,La marche pour le WC et l’étroitesse de la salle d’eau,"8,0",Hôtel,Bordeaux," 8,1 "
Sebastien,France,0,2020-02-17,Très bonne localisation,"Le petit déjeuner est très agréable 
La literie est de bonne qualité
La localisation de l'hôtel est vraiment parfaite en plein centre pour se balader à pied","L'insonorisation n'est pas parfaite
La qualité du wifi pourrait être améliorée","7,0",Hôtel,Bordeaux," 8,1 "
Helene,France,0,2020-02-17,Excellent accueil,"Le personnel très accueillant, la localisation de l hôtel, le rapport qualité/prix, le petit-déjeuner",L'insonorisation,"8,0",Hôtel,Bordeaux," 8,1 "
Frédéric,France,0,2020-02-17,Etablissement agréable en trés bon état général,Propreté et état général de la chambre très bons,"Machine à café ou thé dans la chambre
TV très petite","8,0",Hôtel,Bordeaux," 8,1 "
Géraldine,France,0,2020-02-17,Pratique car hyper bien situé,La localisation et la courtoisie de l'accueil. Petit déjeuner de qualité,Chambre petite et surtout très sombre,"7,0",Hôtel,Bordeaux," 8,1 "
Yann,France,0,2020-02-15,Fabuleux ,"Le personnel est vraiment très agréable, très accueillant.",None,"9,0",Hôtel,Bordeaux," 8,1 "
Vera,France,0,2020-02-10,Très bien,L’accueil,La salle de bain,"8,0",Hôtel,Bordeaux," 8,1 "
Aurélie,France,0,2020-02-01,Bien ,"Personnel accueillant et agréable, chambre propre.","Chambre un peu petite mais bien agencée. 
Bruit dans la rue mais ça c'est indépendant de l'hôtel","7,0",Hôtel,Bordeaux," 8,1 "
Jean-yves,France,0,2020-01-24,Bien ,L'accueil du personnel,Survolté à 8 !,"7,0",Hôtel,Bordeaux," 8,1 "
Soufiane,Maroc,0,2020-01-18,Bien ,L'emplacement l'amabilité du personnel,Les lits n'étaient pas confortables,"7,0",Hôtel,Bordeaux," 8,1 "
Olga,France,0,2020-01-15,Moyenne,bruit d’extérieur tôt le matin,bruit d’extérieur tôt le matin,"7,0",Hôtel,Bordeaux," 8,1 "
Estelle,France,0,2020-01-14,Très bon break,"Petit-déjeuner de qualité avec produits bio et salle très calme ( bravo pas de TV).
Personnel très compréhensif : problème de serrure et par conséquent surclassement en chambre confort...
Hôtel très bien situé.",None,"8,0",Hôtel,Bordeaux," 8,1 "
Laurence,France,0,2020-01-09,Bien ,Chambre spacieuse et bien décorée,Espace lavabo dans la salle de bains très petit,"7,0",Hôtel,Bordeaux," 8,1 "
Claire,France,0,2020-01-08,"Bordeaux est une très belle ville et pas besoin de voiture (marche à pied ou tram), bravo Mr Jupé !",Literie très confortable et le buffet petit déjeuner très bon et varié (pour tous les goûts) c'était parfait !,Le manque d'une porte coulissante qui sépare sdb et chambre.,"7,0",Hôtel,Bordeaux," 8,1 "
Pascale,France,0,2020-01-08,Très bien pour une nuit lors d’un déplacement professionnel de part la situation déjà. Accueil très,Odeur dans la salle de bain,Odeur dans la salle de bain,"7,0",Hôtel,Bordeaux," 8,1 "
Jean,France,0,2020-01-05,Bien ,Isolation lphonique entre chambre:mais nous etions le31 dec,Isolation lphonique entre chambre:mais nous etions le31 dec,"7,0",Hôtel,Bordeaux," 8,1 "
Mirielle,France,0,2020-01-03,Bien ,Accueil réception ;chambre petite mais fonctionnelle,Odeur de égout désagréable venant des sanitaires,"7,0",Hôtel,Bordeaux," 8,1 "
Marie,France,0,2020-01-02,Superbe,"L’emplacement est vraiment idéal, à deux pas du triangle d’or et à l’épicentre des attractions touristiques bordelaise","L’hygiène et l’état d’usure des chambres ne sont pas irréprochables mais le lit, les toilettes et la salle de bain étaient propre.","8,8",Hôtel,Bordeaux," 8,1 "
Laurence,France,0,2019-12-30,Très bien,Très bon emplacement,Chambre un peu petite,"8,0",Hôtel,Bordeaux," 8,1 "
